Feedback ID,Submitted at,Business,Industry,Size,Region,Description,Overall UX experience,Ease of use / navigation,Clarity of the platform,Usefulness of the process for your business,Value of the generated recommendations,Comment,Size_numeric,Size_band,Region_clean,Industry_sector,Composite
69de1936-c691-48e5-a84d-fd436e736073,2026-07-13T09:10:37.985Z,Emdigos,Tech,10,Africa,"A digital company that create softwares, websites, applications, videos,animations & graphics",3,4,3,4,4,,10,Small (10-49),Africa,Technology & Digital,3.6
3b614d5a-7c44-49aa-a0c2-d3455faeb570,2026-07-07T16:15:20.210Z,Melomade,Handmade Crochet,5,United Kingdom,"We create handmade Crochet Creations mostly geared towards ladies (items such as tops, bags, scrunchies, scarves) but we also have some multi gendered items like baby blankets. Each piece is handmade, unique and completely customisable.",5,4,4,5,4,,5,Micro (1-9),United Kingdom,"Fashion, Beauty & Crafts",4.4
7abe1e21-7eac-4ffa-a34a-8cd35bc69dc2,2026-07-07T12:08:25.042Z,RayCoy Residence,Hospitality,1 - 10,West Africa,"We manage and operate short-term rental properties for business travellers, tourists, and families seeking comfortable, high-quality accommodation. Our focus is on providing a seamless guest experience through professionally managed properties, self-check-in, responsive customer support, and well-maintained, fully furnished homes. We also work with property owners to maximize occupancy and rental income through effective listing management and dynamic pricing.",4,5,4,3,3,,1,Micro (1-9),Africa,Food & Hospitality,3.8
da89d946-ca29-496c-b9db-d0363cb3041d,2026-07-06T05:09:45.434Z,Ucee's diary,Entertainment,20,United Kingdom,We produce AI films for the public using AI tools,5,5,5,5,5,,20,Small (10-49),United Kingdom,Entertainment & Media,5.0
979e1fbd-6dcc-4523-b24e-67f796d3069f,2026-07-04T16:09:38.490Z,InsightNova Analytics,Data Analytics & Business Intelligence,Solo (1–10 employees),United Kingdom,"InsightNova Analytics helps small and medium-sized businesses transform raw data into actionable insights through data analysis, interactive dashboards, business intelligence, and reporting. We support organisations in making data-driven decisions by using modern analytics tools, visualisation, and automation to improve efficiency, monitor performance, and identify growth opportunities.",5,5,5,5,5,,1,Micro (1-9),United Kingdom,Technology & Digital,5.0
576d5194-c8f1-4f55-aadc-aafb40d4ebf6,2026-07-04T15:40:18.447Z,Mikanim8,Entertainment,40,Nigeria,"We create engaging and top quality explainer videos for brands, creating your ideas to life.",3,5,4,4,4,UI can be much better.,40,Small (10-49),Africa,Entertainment & Media,4.0
45c965a9-e191-47df-a75d-c7d474f434ec,2026-07-04T15:09:47.264Z,New Wave,Food manufacturing consulting,8,"Midwest, United States","We help food manufacturing companies solve operational, quality, and compliance challenges so they can produce better products more efficiently",3,5,3,5,5,,8,Micro (1-9),North America,Manufacturing & Production,4.2
d6c262f9-7ac6-4e47-9f1d-ba12c620767b,2026-07-04T13:15:43.380Z,Acme Robotics,Precision manufacturing,50 employees,Northern Europe,We design and assemble industrial robotic arms for small-batch electronics manufacturers...,5,5,5,5,5,,50,Medium (50-249),Europe (other),Manufacturing & Production,5.0
be994f27-86b7-4947-acb7-8e32273ea927,2026-07-04T12:21:38.047Z,Meemah’sHair&Nails,Beauty&Art,3,England,"We’re dedicated dedicated to bringing out beauty, confidence, and style in every client we work with.
For me, it’s more than just hair and nails — it’s about helping you feel your absolute best, whether it’s for a special occasion or your everyday glow. I specialize in creating looks that are neat, trendy, and uniquely tailored to you.",4,4,5,4,3,Everything went well ,3,Micro (1-9),United Kingdom,"Fashion, Beauty & Crafts",4.0
b1d840e7-5342-4535-b7ea-100f3bc34c8e,2026-07-04T12:21:26.846Z,Echelon Empire,Fashion,2,Africa,"We sell jerseys, sneakers and men footwear.",5,4,4,4,4,,2,Micro (1-9),Africa,"Fashion, Beauty & Crafts",4.2
f3458f78-af58-485d-a01d-ebe78581d341,2026-07-04T12:13:44.473Z,Zarlex service limited,Healthcare,45,United Kingdom,"A healthcare service provides medical care, treatment, and support to help people maintain or improve their health. It serves individuals of all ages, including patients with acute illnesses, long-term conditions, and preventive healthcare needs. Services are delivered by trained healthcare professionals through consultations, diagnosis, treatment, rehabilitation, health education, and ongoing care in settings such as clinics, hospitals, or patients’ homes.",4,5,4,4,5,,45,Small (10-49),United Kingdom,Healthcare,4.4
1d94da14-f999-4f5e-a3b7-731ea35edb88,2026-07-04T12:10:35.836Z,360 Beauty,Beauty,2,United Kingdom,We specialize in makeup services for all occasions,4,4,5,4,4,,2,Micro (1-9),United Kingdom,"Fashion, Beauty & Crafts",4.2
73c24a88-69f6-4040-a3a1-3d726cdf3610,2026-07-04T12:08:25.025Z,Sylvia hair accessories,Trading company,30 employee,South europe,We major in sales of human hair and fiber hair,5,5,5,5,5,,30,Small (10-49),Europe (other),Finance & Trade,5.0
b9f5475c-8518-4088-9d50-0d73a2391211,2026-07-04T12:03:49.126Z,BRO Initiative,Education,20,Africa,"We provide access to education and mentorship opportunities to young boys who need guidance, mentorship and support. We also ensure quality amongst all genders.",4,5,5,5,5,,20,Small (10-49),Africa,Education,4.8
69e29211-3a54-4d81-ad5e-6a3e62f780ba,2026-07-04T11:53:31.395Z,Joanzytouch,Fashion,30,Nigeria,We do makeup for events,5,5,4,4,4,Nice ,30,Small (10-49),Africa,"Fashion, Beauty & Crafts",4.4
aebb29bf-cb22-428d-a5e8-b094e7caf7b6,2026-07-04T11:48:28.216Z,Julak publishing,Printing and publishing,20,West Africa,"We write, publish and sell books for nursery, primary and secondary schools.",5,5,5,5,5,,20,Small (10-49),Africa,Manufacturing & Production,5.0
09a0d353-b023-4338-8be6-a2998e235b0c,2026-07-01T05:38:02.299Z,Cudium,Financial Technology,20,England,"It is designed for individuals and businesses who need to convert money between different currencies for purposes such as international payments, travel, online shopping, or sending money abroad.",5,5,5,5,5,,20,Small (10-49),United Kingdom,Technology & Digital,5.0
8abde23d-8f18-4aac-b884-accd7a253fe3,2026-06-30T15:42:29.869Z,Bolye Financials,Finance,15,United Kingdom,We provide bespoke financial solutions to individuals and corporate entities to meet thier corporate goals in the short to long terms,4,4,4,5,5,,15,Small (10-49),United Kingdom,Finance & Trade,4.4
8756e82f-2f8e-4cbe-af2d-c0f2f0f57794,2026-06-29T19:14:46.462Z,Colesién,Beauty,1,Canada,My business is a small one that is involved in hair braiding and wig installation. I have an Instagram page where I advertise and deliver the service in client‘s homes.,5,5,5,5,4,"I really love the feel of the website, it is soothing. 

I think the recommendations at the end could have been more, so I have a wider range of things to consider changing for my business. Generally, I think the platform did what it said it would and it wasn’t difficult to navigate. ",1,Micro (1-9),North America,"Fashion, Beauty & Crafts",4.8
759a62f2-b7af-4d65-9f05-be897df3e5db,2026-06-29T10:09:06.644Z,GameTech,Gaming,5,England,GameTech is an online application to elp young people master maths equations,4,5,4,5,4,,5,Micro (1-9),United Kingdom,Technology & Digital,4.4
fb0d19b3-72b4-4cb0-bf6e-ab3b5917c8b1,2026-06-25T19:52:15.896Z,Acme Robotics,Manufacturing,50,China,we design and assemble prosthetic robotic arms and legs for small prosthetic businesses,5,4,4,5,5,All good,50,Medium (50-249),China,Manufacturing & Production,4.6
